symbol,bidPrice,bidQty,askPrice,askQty
STORMETH,0.00000000,0.00000000,0.00000000,0.00000000
STORMBNB,0.00000000,0.00000000,0.00000000,0.00000000
QTUMBNB,0.00000000,0.00000000,0.00000000,0.00000000
QTUMUSDT,10.50200000,85.00000000,10.51700000,29.75000000
XEMBTC,0.00000482,26890.00000000,0.00000483,25304.00000000
XEMETH,0.00007116,61826.00000000,0.00007137,24550.00000000
XEMBNB,0.00000000,0.00000000,0.00000000,0.00000000
WANBTC,0.00002292,17.00000000,0.00002298,34.00000000
WANETH,0.00033850,690.68000000,0.00034000,7437.56000000
WANBNB,0.00259600,184.80000000,0.00262000,40.10000000
WPRBTC,0.00000057,9870.00000000,0.00000059,842421.00000000
WPRETH,0.00000000,0.00000000,0.00000000,0.00000000
QLCBTC,0.00000090,100977.00000000,0.00000091,282231.00000000
QLCETH,0.00001327,5395.00000000,0.00001346,15599.00000000
SYSBTC,0.00000528,95.00000000,0.00000529,50.00000000
SYSETH,0.00000000,0.00000000,0.00000000,0.00000000
SYSBNB,0.00000000,0.00000000,0.00000000,0.00000000
QLCBNB,0.00000000,0.00000000,0.00000000,0.00000000
GRSBTC,0.00002716,97.00000000,0.00002726,11.00000000
GRSETH,0.00000000,0.00000000,0.00000000,0.00000000
ADAUSDT,1.54590000,845.27000000,1.54630000,8097.08000000
ADABNB,0.00453200,14140.00000000,0.00453800,39.00000000
CLOAKBTC,0.00000000,0.00000000,0.00000000,0.00000000
CLOAKETH,0.00000000,0.00000000,0.00000000,0.00000000
GNTBTC,0.00000000,0.00000000,0.00000000,0.00000000
GNTETH,0.00000000,0.00000000,0.00000000,0.00000000
GNTBNB,0.00000000,0.00000000,0.00000000,0.00000000
LOOMBTC,0.00000222,42470.00000000,0.00000223,2145.00000000
LOOMETH,0.00003288,202.00000000,0.00003307,12307.00000000
LOOMBNB,0.00000000,0.00000000,0.00000000,0.00000000
XRPUSDT,0.92350000,2866.29000000,0.92370000,0.89000000
